genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Phragmipedium,Grouville,B-006151,14-may-21,01-nov-21,PIH4131,V-2 M-14A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Restrepia,sp ec Velvet purple Ecuador x Rony L,B-006796,24-oct-22,24-oct-22,PRS4165,V-0,ALEX PORTILLA,1,0,SIBBLING_STEFY.XLS
Trichocentrum,longicalcaratum,B-008038,19-nov-23,18-oct-24,PRS4179,V-0,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Trichocentrum,longicalcaratum,B-006587,19-nov-21,27-sep-22,PRS4179,V-16 P-C,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Trichocentrum,longicalcaratum,B-000825,20-jun-12,26-Apr-13,PRS4179,V-16 P-C,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Trichocentrum,longicalcaratum,B-007857,27-oct-23,03-sep-24,PRS4179,V-16 P-C,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Trichocentrum,longicalcaratum,B-003565,06-mar-17,26-Dec-17,PRS4179,V-16 P-C,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Lycaste,luminosa,B-002394,24-Dec-12,24-Dec-12,PIS4196,V-0,,1,0,SIBBLING_STEFY.XLS
Lycaste,luminosa,B-000016,14-Jan-09,08-feb-10,PIS4196,V-16 M-4E,JHON VALLE,3,0,SIBBLING_STEFY.XLS
Dendrobium,secundum,B-001112,28-nov-13,11-feb-14,PIS4197,V-5 M-4B,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,devonianum 'Manot',B-008510,14-oct-24,14-oct-24,PIS4199,V-0,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Bulbophyllum,bicolor,B-001075,30-Jan-13,19-Dec-13,PIS4200,V-5 M-1A,ANGEL GUACHISACA,2,0,SIBBLING_STEFY.XLS
